"","source","target"
"553","St. John's University","Columbia University"
"554","St. John's University","Cook Academy"
"555","St. John's University","Johns Hopkins University"
"556","Yu Tsai School","Columbia University"
"557","Yu Tsai School","Cook Academy"
"558","Yu Tsai School","Johns Hopkins University"
"559","Tientsin First High School","University of Illinois"
"560","Tientsin First High School","University of Pennsylvania"
"561","Chihli Provincial College","Purdue University"
"562","Tangshan Railway and Engineering College","Purdue University"
"563","Nanyang Middle School","University of Wisconsin"
"564","Soochow Provincial College","University of Wisconsin"
"565","Peiyang Medical College","Harvard University"
"566","Peiyang Medical College","Johns Hopkins University"
"567","Peiyang University","Harvard University"
"568","St. John's University","Lehigh University"
"569","Tokio Commercial School","University of Illinois"
"570","Canton Christian College","Colorado School of Mines"
"571","Canton Christian College","Lehigh University"
"572","Tangshan Railway and Engineering College","Colorado School of Mines"
"573","Tangshan Railway and Engineering College","Lehigh University"
"574","Oahu College","University of Wisconsin"
"575","St. John's University","Dartmouth College"
"576","St. John's University","University of Pennsylvania"
"577","St. John's University","University of Wisconsin"
"578","Chihli Provincial College","Massachusetts Institute of Technology"
"579","Hangchow High School","Massachusetts Institute of Technology"
"580","Nanyang High School","Massachusetts Institute of Technology"
"581","Samshui School","Massachusetts Institute of Technology"
"582","Samshui School","University of Pennsylvania"
"583","Samshui School","Worcester Polytechnic Institute"
"584","Hanlin Academy","Columbia University"
"585","Peiyang University","Columbia University"
"586","Sunning District School","New York University"
"587","Sunning District School","Youkers High School"
"588","Nanyang College","Cornell University"
"589","Anglo-Chinese School (Singapore)","Ohio Wesleyan University"
"590","Anglo-Chinese School (Singapore)","Yale University"
"591","Kwangtung High School","Cornell University"
"592","Kwangtung High School","Simpson Academy"
"593","Liangkwang Educational Mission School","Cornell University"
"594","Liangkwang Educational Mission School","Simpson Academy"
"595","Nanyang College","University of Chicago"
"596","Woosung National Institute","University of Chicago"
"597","Che-li School","Rochester East High School"
"598","Che-li School","Rochester University"
"599","Che-li School","Syracuse University"
"600","Nanking Commercial School","Phillips Academy"
"601","Nanking Commercial School","University of Wisconsin"
"602","Peking Methodist University","Cornell University"
"603","Peking Methodist University","De Pauw University"
"604","Peking Methodist University","Indiana University"
"605","Anhui Provincial College","Massachusetts Institute of Technology"
"606","Peking Government University","Massachusetts Institute of Technology"
"607","Nanyang Middle School","Harvard University"
"608","Peiyang University","Harvard University"
"609","Oahu College","University of Pennsylvania"
"610","St. John's University","University of Pennsylvania"
"611","Boone University","Columbia University"
"612","Boone University","New York Library School"
"613","St. John's University","University of Michigan"
"614","Soochow English Language School","University of Wisconsin"
"615","Woosung National Institute","University of Wisconsin"
"616","St. Joseph's College","University of Wisconsin"
"617","Nanyang College","Lawrence Academy"
"618","Nanyang College","Union College"
"619","Nanyang College","University of Illinois"
"620","Fu Tan College","Harvard University"
